ID_FIXTURE,DATE,ID_HOME_TEAM,ID_AWAY_TEAM,SHOTS_ON_GOAL,SHOTS_OFF_GOAL,TOTAL_SHOTS,BLOCKED_SHOTS,SHOTS_INSIDEBOX,SHOTS_OUTSIDEBOX,CORNER_KICKS,BALL_POSSESION,TOTAL_PASSES,PASSES_ACCURATE
837991,2022-04-10,1062,119,5,8,15,2,7,8,3,53%,533,466
837992,2022-04-09,124,128,6,11,26,9,15,11,8,66%,545,481
837993,2022-04-10,126,134,8,7,18,3,7,11,5,54%,514,453
837994,2022-04-10,121,129,4,9,18,5,11,7,11,56%,377,306
837995,2022-04-10,120,131,4,4,9,1,4,5,2,56%,472,398
837996,2022-04-11,152,794,7,3,13,3,7,6,5,50%,417,339
837997,2022-04-10,154,1193,5,7,22,10,9,13,7,65%,446,375
837998,2022-04-09,144,127,3,2,10,5,9,1,4,44%,402,331
837999,2022-04-10,145,125,2,8,13,3,7,6,6,58%,542,459
838000,2022-04-10,147,151,9,3,17,5,7,10,7,52%,449,384
838001,2022-04-16,125,152,9,9,22,4,12,10,5,46%,378,307
838002,2022-04-17,127,126,8,9,19,2,14,5,2,53%,423,366
838003,2022-04-17,794,144,8,3,18,7,10,8,13,58%,486,428
838004,2022-04-16,131,145,4,6,14,4,8,6,7,54%,596,515
838005,2022-04-17,128,147,7,5,15,3,7,8,4,35%,287,223
838006,2022-04-17,119,154,5,8,18,5,14,4,8,51%,473,391
838007,2022-04-17,129,120,4,7,18,7,11,7,4,65%,467,373
838008,2022-04-16,151,121,6,2,9,1,7,2,2,24%,195,122
838009,2022-04-17,1193,124,1,1,5,3,2,3,2,39%,332,244
838010,2022-04-17,134,1062,3,6,12,3,4,8,2,44%,411,334
838011,2022-04-24,1062,147,5,12,20,3,7,13,3,61%,657,588
838012,2022-04-23,124,119,2,4,13,7,6,7,5,57%,503,430
838013,2022-04-23,794,126,3,8,15,4,10,5,6,33%,243,164
838014,2022-04-23,121,131,7,9,20,4,13,7,12,44%,339,267
838015,2022-04-24,128,125,8,5,18,5,11,7,3,39%,324,246
838016,2022-04-24,152,1193,2,8,13,3,7,6,6,57%,422,346
838017,2022-06-01,154,129,3,6,11,2,6,5,4,41%,298,218
838018,2022-04-24,144,120,2,7,9,None,4,5,2,38%,321,246
838019,2022-04-25,145,151,4,6,14,4,7,7,3,41%,255,182
838020,2022-04-23,134,127,2,6,11,3,5,6,6,41%,354,267
838021,2022-04-30,125,134,3,4,7,None,4,3,6,46%,364,277
838022,2022-04-20,127,121,2,9,17,6,9,8,9,56%,444,383
838023,2022-05-02,126,128,3,5,10,2,6,4,2,57%,459,394
838024,2022-05-01,131,154,2,2,5,1,4,1,9,56%,419,338
838025,2022-05-01,120,152,4,7,17,6,9,8,6,61%,397,329
838026,2022-05-01,119,145,3,10,23,10,14,9,18,60%,537,460
838027,2022-04-30,129,794,4,6,14,4,9,5,5,56%,447,343
838028,2022-04-30,151,1062,2,3,7,2,4,3,None,31%,252,181
838029,2022-04-30,1193,144,5,7,17,5,11,6,4,51%,475,423
838030,2022-05-01,147,124,8,7,20,5,12,8,8,55%,439,391
838031,2022-05-07,1062,125,8,9,23,6,16,7,11,69%,534,427
838032,2022-05-08,127,120,8,9,17,None,10,7,10,52%,407,331
838033,2022-05-08,794,131,2,5,8,1,5,3,1,57%,534,448
838034,2022-05-08,121,124,5,6,19,8,10,9,6,48%,357,304
838035,2022-05-08,128,1193,7,3,12,2,8,4,4,47%,416,348
838036,2022-05-08,152,119,5,6,11,None,6,5,6,57%,447,369
838037,2022-05-08,154,126,3,4,12,5,7,5,9,54%,380,305
838038,2022-05-08,144,151,7,16,33,10,20,13,12,77%,523,463
838039,2022-05-09,145,147,6,4,12,2,8,4,5,58%,543,459
838040,2022-05-07,134,129,8,4,15,3,9,6,4,41%,285,211
838041,2022-05-14,1062,144,7,3,14,4,8,6,10,56%,518,426
838042,2022-05-15,124,134,6,3,11,2,6,5,4,63%,523,453
838043,2022-05-15,126,1193,9,9,21,3,14,7,15,73%,591,527
838044,2022-05-14,121,794,7,4,14,3,9,5,7,48%,385,311
838045,2022-05-15,120,154,5,4,12,3,6,6,5,63%,510,429
838046,2022-05-14,119,131,5,4,13,4,10,3,5,48%,385,319
838047,2022-05-14,129,127,5,4,15,6,5,10,7,41%,332,272
838048,2022-05-15,151,128,5,3,10,2,7,3,5,32%,243,176
838049,2022-05-15,145,152,5,8,17,4,10,7,6,64%,543,461
838050,2022-05-15,147,125,7,6,17,4,9,8,7,58%,406,346
838051,2022-05-22,125,120,4,5,12,3,6,6,3,42%,374,278
838052,2022-05-21,127,151,6,4,11,1,6,5,6,64%,580,511
838053,2022-05-11,794,1062,1,4,6,1,2,4,3,38%,383,298
838054,2022-05-22,131,126,5,8,13,None,7,6,8,55%,515,417
